CMDLINE /raid/home/q619238/mambaforge/envs/qiro/bin/python3.9 time_test_run.py
MEM 614.058594 1701175045.2681
MEM 614.058594 1701175045.4014
MEM 614.058594 1701175045.5362
MEM 614.058594 1701175045.6708
MEM 614.058594 1701175045.8045
MEM 614.058594 1701175045.9375
MEM 614.058594 1701175046.0714
MEM 614.058594 1701175046.2054
MEM 614.058594 1701175046.3390
MEM 614.058594 1701175046.4728
MEM 614.058594 1701175046.6062
MEM 614.058594 1701175046.7409
MEM 614.058594 1701175046.8744
MEM 614.058594 1701175047.0074
MEM 614.058594 1701175047.1426
MEM 614.058594 1701175047.2759
MEM 614.058594 1701175047.4088
MEM 614.058594 1701175047.5416
MEM 614.058594 1701175047.6748
MEM 614.058594 1701175047.8080
MEM 614.058594 1701175047.9410
MEM 614.058594 1701175048.0742
MEM 614.058594 1701175048.2074
MEM 614.058594 1701175048.3407
MEM 614.058594 1701175048.4742
MEM 614.058594 1701175048.6079
MEM 614.058594 1701175048.7428
MEM 614.058594 1701175048.8762
MEM 614.058594 1701175049.0096
MEM 614.058594 1701175049.1427
MEM 614.058594 1701175049.2772
MEM 614.058594 1701175049.4108
MEM 614.058594 1701175049.5441
MEM 614.058594 1701175049.6775
MEM 614.058594 1701175049.8104
MEM 614.058594 1701175049.9434
MEM 614.058594 1701175050.0763
MEM 614.058594 1701175050.2090
MEM 614.058594 1701175050.3438
MEM 614.058594 1701175050.4772
MEM 614.058594 1701175050.6111
MEM 614.058594 1701175050.7455
MEM 614.058594 1701175050.8794
MEM 614.058594 1701175051.0129
MEM 614.058594 1701175051.1464
MEM 614.058594 1701175051.2799
MEM 614.058594 1701175051.4132
MEM 614.058594 1701175051.5463
MEM 614.058594 1701175051.6799
MEM 614.058594 1701175051.8150
MEM 614.058594 1701175051.9494
MEM 614.058594 1701175052.0827
MEM 614.058594 1701175052.2160
MEM 614.058594 1701175052.3489
MEM 614.058594 1701175052.4821
MEM 614.058594 1701175052.6156
MEM 614.058594 1701175052.7487
MEM 614.058594 1701175052.8817
MEM 614.058594 1701175053.0149
MEM 614.058594 1701175053.1481
MEM 614.058594 1701175053.2810
MEM 614.058594 1701175053.4165
MEM 614.058594 1701175053.5500
MEM 614.058594 1701175053.6832
MEM 614.058594 1701175053.8162
MEM 614.058594 1701175053.9502
MEM 614.058594 1701175054.0834
MEM 614.058594 1701175054.2167
MEM 614.058594 1701175054.3497
MEM 614.058594 1701175054.4829
MEM 614.058594 1701175054.6159
MEM 614.058594 1701175054.7493
MEM 614.058594 1701175054.8829
MEM 614.058594 1701175055.0178
MEM 614.058594 1701175055.1511
MEM 614.058594 1701175055.2844
MEM 614.058594 1701175055.4180
MEM 614.058594 1701175055.5519
MEM 614.058594 1701175055.6849
MEM 614.058594 1701175055.8183
MEM 614.058594 1701175055.9514
MEM 614.058594 1701175056.0845
MEM 614.058594 1701175056.2174
MEM 614.058594 1701175056.3505
MEM 614.058594 1701175056.4831
MEM 614.058594 1701175056.6179
MEM 614.058594 1701175056.7520
MEM 614.058594 1701175056.8851
MEM 614.058594 1701175057.0183
MEM 614.058594 1701175057.1511
MEM 614.058594 1701175057.2840
MEM 614.058594 1701175057.4164
MEM 614.058594 1701175057.5496
MEM 614.058594 1701175057.6826
MEM 614.058594 1701175057.8158
MEM 614.058594 1701175057.9487
MEM 614.058594 1701175058.0829
MEM 614.058594 1701175058.2163
MEM 614.058594 1701175058.3498
MEM 614.058594 1701175058.4830
MEM 614.058594 1701175058.6160
MEM 614.058594 1701175058.7486
MEM 614.058594 1701175058.8832
MEM 614.058594 1701175059.0167
MEM 614.058594 1701175059.1500
MEM 614.058594 1701175059.2832
MEM 614.058594 1701175059.4157
MEM 614.058594 1701175059.5487
MEM 614.058594 1701175059.6836
MEM 614.058594 1701175059.8173
MEM 614.058594 1701175059.9507
MEM 614.058594 1701175060.0843
